MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7263;0.0395;0.0974;2;0.0000;0.9500;single;25.1375;sigmoid
0.7638;0.0392;0.1204;2;0.0000;0.9500;complete;25.3235;relu
0.7460;0.0394;0.0881;2;0.0000;0.9500;average;28.6108;relu
0.7436;0.0395;0.0949;2;0.0000;0.9500;single;25.3409;relu
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;25.6063;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;25.9373;sigmoid
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.6070;sigmoid
0.7152;0.0392;0.1169;2;0.0000;0.9950;complete;25.7009;relu
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;25.8823;relu
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.5959;relu
0.5835;0.0396;0.0962;2;0.0000;0.5000;complete;7.2006;sigmoid
0.5600;0.0398;0.0894;2;0.0000;0.5000;average;7.3329;sigmoid
0.5802;0.0397;0.0882;2;0.0000;0.5000;single;7.2309;sigmoid
0.5555;0.0398;0.0664;2;0.0000;0.5000;complete;7.1045;relu
0.5639;0.0400;0.0416;2;0.0000;0.5000;average;7.2286;relu
0.5871;0.0398;0.0934;2;0.0000;0.5000;single;7.1105;relu
0.6066;0.0396;0.1079;2;0.0000;0.5500;complete;25.9883;sigmoid
0.5701;0.0398;0.0941;2;0.0000;0.5500;average;25.3795;sigmoid
0.5647;0.0398;0.0739;2;0.0000;0.5500;single;25.0368;sigmoid
0.5917;0.0397;0.0678;2;0.0000;0.5500;complete;25.4492;relu
0.5575;0.0399;0.0580;2;0.0000;0.5500;average;25.1372;relu
0.5892;0.0399;0.0326;2;0.0000;0.5500;single;25.4882;relu
0.6790;0.0395;0.1132;2;0.0000;0.7500;complete;25.8039;sigmoid
0.6570;0.0396;0.1045;2;0.0000;0.7500;average;25.7703;sigmoid
0.6580;0.0397;0.0899;2;0.0000;0.7500;single;25.5067;sigmoid
0.6785;0.0396;0.0761;2;0.0000;0.7500;complete;26.1688;relu
0.6960;0.0396;0.0910;2;0.0000;0.7500;average;25.6290;relu
0.6919;0.0395;0.1087;2;0.0000;0.7500;single;25.2285;relu
0.7436;0.0391;0.1315;2;0.0000;0.9500;complete;25.6938;sigmoid
0.7322;0.0394;0.1016;2;0.0000;0.9500;average;25.4347;sigmoid
0.7225;0.0395;0.0981;2;0.0000;0.9500;single;25.4379;sigmoid
0.7642;0.0392;0.1211;2;0.0000;0.9500;complete;25.5893;relu
0.7451;0.0394;0.0872;2;0.0000;0.9500;average;25.5357;relu
0.7429;0.0394;0.0959;2;0.0000;0.9500;single;25.4512;relu
0.7152;0.0392;0.1171;2;0.0000;0.9950;complete;25.8508;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;26.1405;sigmoid
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.5016;sigmoid
0.7152;0.0392;0.1171;2;0.0000;0.9950;complete;25.8686;relu
0.7259;0.0394;0.0906;2;0.0000;0.9950;average;26.1842;relu
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.2809;relu
0.5659;0.0397;0.0960;2;0.0000;0.5000;complete;7.2247;sigmoid
0.5687;0.0398;0.0918;2;0.0000;0.5000;average;7.1959;sigmoid
0.5628;0.0398;0.0881;2;0.0000;0.5000;single;7.2008;sigmoid
0.5537;0.0398;0.0659;2;0.0000;0.5000;complete;7.0837;relu
0.5621;0.0400;0.0417;2;0.0000;0.5000;average;7.0950;relu
0.5901;0.0398;0.0947;2;0.0000;0.5000;single;7.1259;relu
0.5938;0.0396;0.1052;2;0.0000;0.5500;complete;25.4468;sigmoid
0.5559;0.0398;0.0891;2;0.0000;0.5500;average;25.3980;sigmoid
0.5637;0.0398;0.0723;2;0.0000;0.5500;single;24.7858;sigmoid
0.5900;0.0397;0.0692;2;0.0000;0.5500;complete;25.2826;relu
0.5554;0.0400;0.0581;2;0.0000;0.5500;average;25.0053;relu
0.5841;0.0399;0.0375;2;0.0000;0.5500;single;24.5973;relu
0.6749;0.0395;0.1123;2;0.0000;0.7500;complete;25.7403;sigmoid
0.6532;0.0397;0.0822;2;0.0000;0.7500;average;26.0508;sigmoid
0.6480;0.0396;0.0939;2;0.0000;0.7500;single;25.3080;sigmoid
0.6755;0.0396;0.0754;2;0.0000;0.7500;complete;25.5096;relu
0.6961;0.0396;0.0877;2;0.0000;0.7500;average;25.5720;relu
0.6902;0.0395;0.1137;2;0.0000;0.7500;single;25.2313;relu
