MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.4239;0.3714;0.5020;2;0.0000;0.9500;single;3.6913;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;complete;2.8856;relu
0.4241;0.3712;0.4982;2;0.0000;0.9500;average;3.6544;relu
0.4239;0.3714;0.4944;2;0.0000;0.9500;single;2.9380;relu
0.4222;0.3732;0.5231;2;0.0000;0.9950;complete;3.6589;sigmoid
0.4242;0.3717;0.4944;2;0.0000;0.9950;average;2.9272;sigmoid
0.4234;0.3718;0.4982;2;0.0000;0.9950;single;3.7323;sigmoid
0.4222;0.3711;0.5270;2;0.0000;0.9950;complete;2.8707;relu
0.4242;0.3715;0.4831;2;0.0000;0.9950;average;3.6064;relu
0.4234;0.3718;0.4906;2;0.0000;0.9950;single;2.8627;relu
0.4244;0.3729;0.5231;2;0.0000;0.5000;complete;0.3488;sigmoid
0.4244;0.3718;0.4887;2;0.0000;0.5000;average;0.3422;sigmoid
0.4244;0.3714;0.4850;2;0.0000;0.5000;single;0.3532;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5000;complete;0.2943;relu
0.4244;0.3714;0.4812;2;0.0000;0.5000;average;0.2960;relu
0.4245;0.3714;0.4831;2;0.0000;0.5000;single;0.3068;relu
0.4244;0.3739;0.5192;2;0.0000;0.5500;complete;3.6459;sigmoid
0.4244;0.3718;0.4887;2;0.0000;0.5500;average;2.9356;sigmoid
0.4244;0.3714;0.4850;2;0.0000;0.5500;single;3.6556;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;complete;2.8538;relu
0.4244;0.3714;0.4812;2;0.0000;0.5500;average;3.6609;relu
0.4245;0.3714;0.4831;2;0.0000;0.5500;single;2.8909;relu
0.4243;0.3731;0.4757;2;0.0000;0.7500;complete;3.6947;sigmoid
0.4243;0.3716;0.4887;2;0.0000;0.7500;average;2.9505;sigmoid
0.4243;0.3713;0.4869;2;0.0000;0.7500;single;3.7413;sigmoid
0.4245;0.3714;0.4812;2;0.0000;0.7500;complete;2.8560;relu
0.4243;0.3712;0.4775;2;0.0000;0.7500;average;3.6141;relu
0.4243;0.3713;0.4794;2;0.0000;0.7500;single;2.8703;relu
0.4241;0.3732;0.5077;2;0.0000;0.9500;complete;3.6826;sigmoid
0.4241;0.3715;0.5096;2;0.0000;0.9500;average;2.9317;sigmoid
0.4239;0.3714;0.5020;2;0.0000;0.9500;single;3.7792;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;complete;2.8572;relu
0.4241;0.3712;0.4982;2;0.0000;0.9500;average;3.6473;relu
0.4240;0.3714;0.4963;2;0.0000;0.9500;single;2.8673;relu
0.4222;0.3716;0.5348;2;0.0000;0.9950;complete;3.6716;sigmoid
0.4242;0.3717;0.4944;2;0.0000;0.9950;average;2.9256;sigmoid
0.4234;0.3718;0.4982;2;0.0000;0.9950;single;3.7279;sigmoid
0.4222;0.3711;0.5270;2;0.0000;0.9950;complete;2.8805;relu
0.4242;0.3716;0.4963;2;0.0000;0.9950;average;3.6828;relu
0.4234;0.3718;0.4906;2;0.0000;0.9950;single;2.8767;relu
0.4242;0.3738;0.5173;2;0.0000;0.5000;complete;0.3434;sigmoid
0.4242;0.3717;0.4868;2;0.0000;0.5000;average;0.3517;sigmoid
0.4236;0.3711;0.4720;2;0.0000;0.5000;single;0.3548;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5000;complete;0.2973;relu
0.4244;0.3714;0.4812;2;0.0000;0.5000;average;0.2978;relu
0.4245;0.3714;0.4831;2;0.0000;0.5000;single;0.3065;relu
0.4244;0.3739;0.5212;2;0.0000;0.5500;complete;3.6098;sigmoid
0.4242;0.3717;0.4868;2;0.0000;0.5500;average;3.0075;sigmoid
0.4233;0.3713;0.4683;2;0.0000;0.5500;single;3.6483;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;complete;2.8488;relu
0.4244;0.3714;0.4812;2;0.0000;0.5500;average;3.6134;relu
0.4245;0.3714;0.4831;2;0.0000;0.5500;single;2.9402;relu
0.4242;0.3736;0.5212;2;0.0000;0.7500;complete;3.6696;sigmoid
0.4242;0.3715;0.4906;2;0.0000;0.7500;average;2.9602;sigmoid
0.4244;0.3714;0.4869;2;0.0000;0.7500;single;3.7503;sigmoid
0.4245;0.3714;0.4812;2;0.0000;0.7500;complete;2.9052;relu
0.4245;0.3712;0.4794;2;0.0000;0.7500;average;3.6322;relu
0.4243;0.3713;0.4794;2;0.0000;0.7500;single;2.9069;relu
0.4241;0.3734;0.5388;2;0.0000;0.9500;complete;3.6809;sigmoid
0.4241;0.3715;0.5096;2;0.0000;0.9500;average;2.9982;sigmoid
0.4240;0.3714;0.5039;2;0.0000;0.9500;single;3.6830;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;complete;2.8874;relu
0.4241;0.3712;0.4982;2;0.0000;0.9500;average;3.6341;relu
0.4240;0.3714;0.4963;2;0.0000;0.9500;single;2.9885;relu
0.4222;0.3716;0.5348;2;0.0000;0.9950;complete;3.7260;sigmoid
0.4242;0.3717;0.4944;2;0.0000;0.9950;average;2.9491;sigmoid
0.4234;0.3718;0.4982;2;0.0000;0.9950;single;3.6970;sigmoid
0.4222;0.3711;0.5270;2;0.0000;0.9950;complete;2.9765;relu
0.4242;0.3715;0.4831;2;0.0000;0.9950;average;3.6044;relu
0.4234;0.3718;0.4906;2;0.0000;0.9950;single;2.9122;relu
0.4242;0.3739;0.5173;2;0.0000;0.5000;complete;0.3475;sigmoid
0.4236;0.3717;0.4775;2;0.0000;0.5000;average;0.3454;sigmoid
0.4218;0.3707;0.4340;2;0.0000;0.5000;single;0.3528;sigmoid
0.4244;0.3716;0.4794;2;0.0000;0.5000;complete;0.2935;relu
0.4244;0.3716;0.4794;2;0.0000;0.5000;average;0.2993;relu
0.4246;0.3716;0.4812;2;0.0000;0.5000;single;0.3088;relu
0.4240;0.3739;0.5154;2;0.0000;0.5500;complete;3.6251;sigmoid
0.4236;0.3717;0.4775;2;0.0000;0.5500;average;2.9385;sigmoid
0.4220;0.3707;0.4375;2;0.0000;0.5500;single;3.6746;sigmoid
0.4244;0.3714;0.4812;2;0.0000;0.5500;complete;2.8580;relu
0.4244;0.3716;0.4794;2;0.0000;0.5500;average;3.6052;relu
0.4245;0.3714;0.4831;2;0.0000;0.5500;single;2.8875;relu
0.4243;0.3736;0.5231;2;0.0000;0.7500;complete;3.6662;sigmoid
0.4244;0.3716;0.4906;2;0.0000;0.7500;average;3.0420;sigmoid
0.4239;0.3712;0.4738;2;0.0000;0.7500;single;3.7603;sigmoid
0.4242;0.3713;0.4812;2;0.0000;0.7500;complete;2.8807;relu
0.4245;0.3712;0.4794;2;0.0000;0.7500;average;3.6273;relu
0.4243;0.3713;0.4794;2;0.0000;0.7500;single;2.8719;relu
0.4241;0.3734;0.5388;2;0.0000;0.9500;complete;3.6508;sigmoid
0.4241;0.3715;0.5096;2;0.0000;0.9500;average;2.9441;sigmoid
0.4240;0.3714;0.5039;2;0.0000;0.9500;single;3.7030;sigmoid
0.4241;0.3713;0.4963;2;0.0000;0.9500;complete;2.9233;relu
0.4241;0.3712;0.4982;2;0.0000;0.9500;average;3.6091;relu
0.4240;0.3714;0.4963;2;0.0000;0.9500;single;2.8778;relu
0.4222;0.3715;0.5329;2;0.0000;0.9950;complete;3.6691;sigmoid
0.4242;0.3717;0.4944;2;0.0000;0.9950;average;2.9309;sigmoid
0.4234;0.3718;0.4982;2;0.0000;0.9950;single;3.6556;sigmoid
0.4202;0.3708;0.5290;2;0.0000;0.9950;complete;2.9008;relu
0.4242;0.3715;0.4831;2;0.0000;0.9950;average;3.6157;relu
0.4234;0.3718;0.4906;2;0.0000;0.9950;single;2.9255;relu
0.4244;0.3739;0.5192;2;0.0001;0.5000;complete;0.3505;sigmoid
0.4231;0.3717;0.4738;2;0.0001;0.5000;average;0.3431;sigmoid
0.4209;0.3703;0.4269;2;0.0001;0.5000;single;0.3599;sigmoid
0.4244;0.3716;0.4794;2;0.0001;0.5000;complete;0.2972;relu
0.4244;0.3716;0.4794;2;0.0001;0.5000;average;0.3018;relu
0.4246;0.3716;0.4812;2;0.0001;0.5000;single;0.3030;relu
0.4237;0.3738;0.5096;2;0.0001;0.5500;complete;3.6107;sigmoid
0.4232;0.3716;0.4775;2;0.0001;0.5500;average;2.9396;sigmoid
0.4210;0.3703;0.4269;2;0.0001;0.5500;single;3.7550;sigmoid
0.4244;0.3716;0.4794;2;0.0001;0.5500;complete;2.8775;relu
0.4244;0.3716;0.4794;2;0.0001;0.5500;average;3.6618;relu
0.4246;0.3716;0.4812;2;0.0001;0.5500;single;2.8972;relu
0.4241;0.3738;0.5134;2;0.0001;0.7500;complete;3.7844;sigmoid
0.4242;0.3717;0.4869;2;0.0001;0.7500;average;3.0001;sigmoid
0.4229;0.3707;0.4465;2;0.0001;0.7500;single;3.7278;sigmoid
0.4242;0.3713;0.4812;2;0.0001;0.7500;complete;2.8582;relu
0.4242;0.3712;0.4794;2;0.0001;0.7500;average;3.7123;relu
0.4243;0.3713;0.4794;2;0.0001;0.7500;single;2.9295;relu
0.4241;0.3735;0.5427;2;0.0001;0.9500;complete;3.6979;sigmoid
0.4240;0.3717;0.5058;2;0.0001;0.9500;average;2.9340;sigmoid
0.4242;0.3715;0.5039;2;0.0001;0.9500;single;3.7877;sigmoid
0.4241;0.3712;0.4982;2;0.0001;0.9500;complete;2.8754;relu
0.4241;0.3712;0.4982;2;0.0001;0.9500;average;3.6296;relu
0.4240;0.3714;0.4963;2;0.0001;0.9500;single;2.8618;relu
0.4225;0.3716;0.5309;2;0.0001;0.9950;complete;3.7114;sigmoid
0.4210;0.3718;0.4906;2;0.0001;0.9950;average;2.9204;sigmoid
0.4233;0.3717;0.4944;2;0.0001;0.9950;single;3.6747;sigmoid
0.4157;0.3702;0.5329;2;0.0001;0.9950;complete;2.8743;relu
0.4239;0.3713;0.4812;2;0.0001;0.9950;average;3.6490;relu
0.4234;0.3718;0.4906;2;0.0001;0.9950;single;2.8979;relu
0.4219;0.3733;0.4720;2;0.0010;0.5000;complete;0.3434;sigmoid
0.0070;0.3772;0.0012;2;0.0010;0.5000;average;0.3460;sigmoid
0.4212;0.3698;0.4217;2;0.0010;0.5000;single;0.3579;sigmoid
0.4236;0.3710;0.4610;2;0.0010;0.5000;complete;0.3031;relu
0.4236;0.3707;0.4628;2;0.0010;0.5000;average;0.2942;relu
0.4237;0.3708;0.4646;2;0.0010;0.5000;single;0.3130;relu
0.4244;0.3739;0.5212;2;0.0010;0.5500;complete;3.6674;sigmoid
0.4230;0.3714;0.4720;2;0.0010;0.5500;average;2.9635;sigmoid
0.4215;0.3699;0.4252;2;0.0010;0.5500;single;3.6659;sigmoid
0.4232;0.3704;0.4591;2;0.0010;0.5500;complete;2.8929;relu
0.0017;0.3553;0.0009;2;0.0010;0.5500;average;3.6150;relu
0.0019;0.3577;0.0021;2;0.0010;0.5500;single;2.8968;relu
0.4239;0.3738;0.5096;2;0.0010;0.7500;complete;3.6627;sigmoid
0.4240;0.3716;0.4831;2;0.0010;0.7500;average;3.0294;sigmoid
0.4223;0.3703;0.4375;2;0.0010;0.7500;single;3.7866;sigmoid
0.0013;0.3613;0.0063;2;0.0010;0.7500;complete;2.8949;relu
0.4241;0.3710;0.4738;2;0.0010;0.7500;average;3.6333;relu
0.4240;0.3708;0.4757;2;0.0010;0.7500;single;3.0046;relu
0.4240;0.3732;0.4925;2;0.0010;0.9500;complete;3.6671;sigmoid
0.4241;0.3716;0.5001;2;0.0010;0.9500;average;2.9741;sigmoid
0.4240;0.3711;0.4757;2;0.0010;0.9500;single;3.6835;sigmoid
0.4241;0.3712;0.5001;2;0.0010;0.9500;complete;2.9420;relu
0.4240;0.3711;0.4963;2;0.0010;0.9500;average;3.6571;relu
0.4241;0.3713;0.4982;2;0.0010;0.9500;single;2.9071;relu
0.4226;0.3731;0.5134;2;0.0010;0.9950;complete;3.6705;sigmoid
0.4210;0.3717;0.4850;2;0.0010;0.9950;average;3.0256;sigmoid
0.4240;0.3713;0.4831;2;0.0010;0.9950;single;3.7041;sigmoid
0.0088;0.3655;0.0045;2;0.0010;0.9950;complete;2.8798;relu
0.4217;0.3716;0.5001;2;0.0010;0.9950;average;3.6224;relu
0.4234;0.3717;0.4887;2;0.0010;0.9950;single;2.9213;relu
0.4244;0.3785;0.6079;2;0.0100;0.5000;complete;0.3421;sigmoid
0.4217;0.3698;0.4483;2;0.0100;0.5000;average;0.3472;sigmoid
0.4077;0.3629;0.2835;2;0.0100;0.5000;single;0.3578;sigmoid
0.0014;0.3488;-0.0006;2;0.0100;0.5000;complete;0.2946;relu
0.0019;0.3493;-0.0005;2;0.0100;0.5000;average;0.2981;relu
0.0020;0.3537;-0.0006;2;0.0100;0.5000;single;0.3042;relu
0.4244;0.3739;0.5192;2;0.0100;0.5500;complete;3.5954;sigmoid
0.4217;0.3689;0.4555;2;0.0100;0.5500;average;2.9527;sigmoid
0.4003;0.3597;0.2330;2;0.0100;0.5500;single;3.6364;sigmoid
-0.0352;0.2694;-0.0005;2;0.0100;0.5500;complete;2.9248;relu
0.0014;0.3513;-0.0003;2;0.0100;0.5500;average;3.6265;relu
