MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7262;0.0548;0.1878;2;0.0000;0.9500;single;14.9633;sigmoid
0.7268;0.0549;0.1984;2;0.0000;0.9500;complete;15.1993;relu
0.7312;0.0547;0.2606;2;0.0000;0.9500;average;15.4449;relu
0.7280;0.0549;0.1750;2;0.0000;0.9500;single;14.8979;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.9695;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.8011;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.8203;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.8521;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;14.8457;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.7853;relu
0.6125;0.0554;0.2588;2;0.0000;0.5000;complete;3.0946;sigmoid
0.6613;0.0551;0.2160;2;0.0000;0.5000;average;3.0325;sigmoid
0.6667;0.0552;0.2338;2;0.0000;0.5000;single;3.2238;sigmoid
0.6147;0.0555;0.2476;2;0.0000;0.5000;complete;2.9450;relu
0.6605;0.0552;0.1912;2;0.0000;0.5000;average;2.9738;relu
0.6648;0.0552;0.2049;2;0.0000;0.5000;single;2.9577;relu
0.6584;0.0551;0.2326;2;0.0000;0.5500;complete;15.4405;sigmoid
0.6731;0.0550;0.2211;2;0.0000;0.5500;average;15.4255;sigmoid
0.6695;0.0551;0.2100;2;0.0000;0.5500;single;15.1893;sigmoid
0.6610;0.0551;0.2172;2;0.0000;0.5500;complete;15.4983;relu
0.6684;0.0551;0.1950;2;0.0000;0.5500;average;15.5144;relu
0.6698;0.0551;0.1903;2;0.0000;0.5500;single;15.3507;relu
0.6879;0.0551;0.2229;2;0.0000;0.7500;complete;15.5407;sigmoid
0.7107;0.0548;0.2643;2;0.0000;0.7500;average;15.1447;sigmoid
0.7062;0.0549;0.2488;2;0.0000;0.7500;single;15.0933;sigmoid
0.6951;0.0552;0.2126;2;0.0000;0.7500;complete;15.4251;relu
0.7137;0.0549;0.2549;2;0.0000;0.7500;average;15.2705;relu
0.7106;0.0550;0.2375;2;0.0000;0.7500;single;15.5909;relu
0.7243;0.0549;0.1879;2;0.0000;0.9500;complete;15.2787;sigmoid
0.7257;0.0547;0.2659;2;0.0000;0.9500;average;15.3386;sigmoid
0.7249;0.0548;0.1848;2;0.0000;0.9500;single;15.2436;sigmoid
0.7260;0.0549;0.2000;2;0.0000;0.9500;complete;15.1428;relu
0.7312;0.0547;0.2603;2;0.0000;0.9500;average;15.2937;relu
0.7281;0.0549;0.1760;2;0.0000;0.9500;single;15.2462;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.8446;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;15.0504;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.8326;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;14.8364;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;15.1769;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.7716;relu
0.6138;0.0554;0.2613;2;0.0000;0.5000;complete;3.0437;sigmoid
0.6637;0.0551;0.2192;2;0.0000;0.5000;average;3.0270;sigmoid
0.6672;0.0552;0.2358;2;0.0000;0.5000;single;3.0310;sigmoid
0.6119;0.0555;0.2476;2;0.0000;0.5000;complete;2.9737;relu
0.6582;0.0552;0.1889;2;0.0000;0.5000;average;3.0386;relu
0.6616;0.0552;0.2016;2;0.0000;0.5000;single;2.9648;relu
0.6618;0.0551;0.2322;2;0.0000;0.5500;complete;15.3094;sigmoid
0.6742;0.0550;0.2218;2;0.0000;0.5500;average;15.4361;sigmoid
0.6678;0.0551;0.2096;2;0.0000;0.5500;single;15.4721;sigmoid
0.6636;0.0551;0.2161;2;0.0000;0.5500;complete;15.3362;relu
0.6686;0.0551;0.1959;2;0.0000;0.5500;average;15.3722;relu
0.6691;0.0551;0.1893;2;0.0000;0.5500;single;15.1611;relu
0.6860;0.0551;0.2196;2;0.0000;0.7500;complete;15.5037;sigmoid
0.7081;0.0548;0.2654;2;0.0000;0.7500;average;15.5643;sigmoid
0.7038;0.0549;0.2493;2;0.0000;0.7500;single;15.3960;sigmoid
0.6986;0.0551;0.2101;2;0.0000;0.7500;complete;15.5938;relu
0.7157;0.0548;0.2548;2;0.0000;0.7500;average;15.5760;relu
0.7119;0.0549;0.2372;2;0.0000;0.7500;single;15.5028;relu
0.7225;0.0549;0.1854;2;0.0000;0.9500;complete;15.1617;sigmoid
0.7244;0.0547;0.2634;2;0.0000;0.9500;average;15.5914;sigmoid
