MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6402;0.1546;0.3913;2;0.0100;0.9500;1.6616;sigmoid
0.6499;0.1544;0.4492;2;0.0100;0.9500;1.6453;relu
0.4602;0.1561;0.1142;2;0.0100;0.9950;1.6783;sigmoid
0.5200;0.1555;0.2138;2;0.0100;0.9950;1.6451;relu
0.7367;0.1526;0.9520;2;0.1000;0.5000;0.7232;sigmoid
0.6594;0.1538;0.6806;2;0.1000;0.5000;0.6390;relu
0.6601;0.1538;0.6673;2;0.1000;0.5500;1.6700;sigmoid
0.7387;0.1528;0.9262;2;0.1000;0.5500;1.6927;relu
0.7330;0.1528;0.9232;2;0.1000;0.7500;1.6171;sigmoid
0.7409;0.1530;0.9013;2;0.1000;0.7500;1.5962;relu
0.6447;0.1548;0.4090;2;0.1000;0.9500;1.6936;sigmoid
0.6412;0.1549;0.3872;2;0.1000;0.9500;1.6350;relu
0.4956;0.1563;0.2444;2;0.1000;0.9950;1.6694;sigmoid
0.4972;0.1557;0.1820;2;0.1000;0.9950;1.6381;relu
0.7322;0.1527;0.9285;2;1.0000;0.5000;0.6863;sigmoid
0.7386;0.1529;0.9090;2;1.0000;0.5000;0.6441;relu
0.7336;0.1528;0.9266;2;1.0000;0.5500;1.6890;sigmoid
0.7378;0.1529;0.9059;2;1.0000;0.5500;1.6086;relu
0.7340;0.1526;0.9462;2;1.0000;0.7500;1.6687;sigmoid
0.7406;0.1530;0.9035;2;1.0000;0.7500;1.6672;relu
0.5863;0.1552;0.3637;2;1.0000;0.9500;1.6769;sigmoid
0.6670;0.1539;0.5462;2;1.0000;0.9500;1.6450;relu
0.3293;0.1579;0.0759;2;1.0000;0.9950;1.6825;sigmoid
0.4812;0.1569;0.2122;2;1.0000;0.9950;1.5929;relu
0.7308;0.1530;0.8819;2;10.0000;0.5000;0.6900;sigmoid
0.5167;0.1547;0.4055;2;10.0000;0.5000;0.6475;relu
0.6039;0.1528;0.6242;2;10.0000;0.5500;1.6737;sigmoid
0.3802;0.1518;0.2667;2;10.0000;0.5500;1.6019;relu
0.7386;0.1530;0.9050;2;10.0000;0.7500;1.6593;sigmoid
0.6231;0.1543;0.6020;2;10.0000;0.7500;1.5813;relu
0.6209;0.1561;0.3406;2;10.0000;0.9500;1.6929;sigmoid
0.5839;0.1553;0.4735;2;10.0000;0.9500;1.6257;relu
0.4608;0.1564;0.2032;2;10.0000;0.9950;1.6761;sigmoid
0.4960;0.1567;0.0913;2;10.0000;0.9950;1.6226;relu
0.7384;0.1526;0.9479;4;0.0000;0.5000;0.8352;sigmoid
0.7384;0.1526;0.9479;4;0.0000;0.5000;0.7758;relu
0.7386;0.1528;0.9306;4;0.0000;0.5500;1.8307;sigmoid
0.7384;0.1526;0.9479;4;0.0000;0.5500;1.7472;relu
0.7392;0.1531;0.9143;4;0.0000;0.7500;1.8165;sigmoid
0.7389;0.1531;0.9131;4;0.0000;0.7500;1.7947;relu
0.6556;0.1540;0.4738;4;0.0000;0.9500;1.9215;sigmoid
0.6501;0.1544;0.4383;4;0.0000;0.9500;1.7607;relu
0.4975;0.1557;0.2038;4;0.0000;0.9950;1.8598;sigmoid
0.4771;0.1556;0.1704;4;0.0000;0.9950;1.7568;relu
0.7355;0.1526;0.9513;4;0.0000;0.5000;0.8533;sigmoid
0.7380;0.1526;0.9459;4;0.0000;0.5000;0.9279;relu
0.6511;0.1537;0.6751;4;0.0000;0.5500;1.8832;sigmoid
0.7385;0.1528;0.9271;4;0.0000;0.5500;1.8071;relu
0.7385;0.1529;0.9035;4;0.0000;0.7500;2.0016;sigmoid
0.7400;0.1528;0.9226;4;0.0000;0.7500;1.8652;relu
0.6533;0.1542;0.4677;4;0.0000;0.9500;1.8373;sigmoid
0.6549;0.1541;0.4721;4;0.0000;0.9500;1.8910;relu
0.4748;0.1557;0.1779;4;0.0000;0.9950;1.8661;sigmoid
0.5033;0.1553;0.2203;4;0.0000;0.9950;1.7882;relu
0.7361;0.1525;0.9607;4;0.0000;0.5000;0.8277;sigmoid
0.7353;0.1526;0.9521;4;0.0000;0.5000;0.8008;relu
0.7367;0.1525;0.9625;4;0.0000;0.5500;1.7693;sigmoid
0.7393;0.1528;0.9304;4;0.0000;0.5500;1.7412;relu
0.7361;0.1525;0.9574;4;0.0000;0.7500;1.9670;sigmoid
0.7368;0.1529;0.9080;4;0.0000;0.7500;1.8535;relu
0.6468;0.1542;0.4606;4;0.0000;0.9500;1.8810;sigmoid
0.6513;0.1543;0.4501;4;0.0000;0.9500;1.7933;relu
0.4804;0.1554;0.2143;4;0.0000;0.9950;1.8906;sigmoid
0.4997;0.1558;0.2109;4;0.0000;0.9950;1.7768;relu
0.7361;0.1525;0.9607;4;0.0000;0.5000;0.8031;sigmoid
0.7352;0.1527;0.9455;4;0.0000;0.5000;0.7781;relu
0.7368;0.1525;0.9632;4;0.0000;0.5500;1.7940;sigmoid
0.7350;0.1526;0.9474;4;0.0000;0.5500;1.7926;relu
0.7119;0.1531;0.8435;4;0.0000;0.7500;1.9927;sigmoid
0.7402;0.1529;0.9192;4;0.0000;0.7500;1.9565;relu
0.6523;0.1542;0.4644;4;0.0000;0.9500;1.8603;sigmoid
0.6501;0.1542;0.4716;4;0.0000;0.9500;1.9201;relu
0.4998;0.1558;0.2114;4;0.0000;0.9950;1.7869;sigmoid
0.5041;0.1558;0.2077;4;0.0000;0.9950;1.8059;relu
0.7361;0.1525;0.9623;4;0.0000;0.5000;0.8101;sigmoid
0.6586;0.1535;0.7112;4;0.0000;0.5000;0.7644;relu
0.7361;0.1525;0.9599;4;0.0000;0.5500;1.8173;sigmoid
0.7360;0.1527;0.9425;4;0.0000;0.5500;1.7386;relu
0.7368;0.1525;0.9658;4;0.0000;0.7500;1.8483;sigmoid
0.7403;0.1529;0.9104;4;0.0000;0.7500;1.7865;relu
0.6536;0.1541;0.4687;4;0.0000;0.9500;1.8607;sigmoid
0.6523;0.1542;0.4756;4;0.0000;0.9500;1.8632;relu
0.4564;0.1561;0.1255;4;0.0000;0.9950;1.8258;sigmoid
0.4974;0.1556;0.2280;4;0.0000;0.9950;1.9441;relu
0.7354;0.1526;0.9504;4;0.0000;0.5000;0.8315;sigmoid
0.6576;0.1536;0.7034;4;0.0000;0.5000;0.7701;relu
0.7355;0.1525;0.9602;4;0.0000;0.5500;1.8824;sigmoid
0.7350;0.1526;0.9503;4;0.0000;0.5500;1.8679;relu
0.6747;0.1536;0.7414;4;0.0000;0.7500;1.8625;sigmoid
0.7410;0.1530;0.9048;4;0.0000;0.7500;1.8128;relu
0.6519;0.1540;0.4797;4;0.0000;0.9500;1.9109;sigmoid
0.6412;0.1541;0.4671;4;0.0000;0.9500;1.8810;relu
0.4990;0.1558;0.2123;4;0.0000;0.9950;1.8049;sigmoid
0.5026;0.1558;0.2107;4;0.0000;0.9950;1.8014;relu
0.7361;0.1525;0.9637;4;0.0001;0.5000;0.8241;sigmoid
0.7359;0.1527;0.9394;4;0.0001;0.5000;0.7595;relu
0.7353;0.1526;0.9530;4;0.0001;0.5500;1.8094;sigmoid
0.6579;0.1537;0.6912;4;0.0001;0.5500;1.8081;relu
0.7360;0.1525;0.9665;4;0.0001;0.7500;1.8313;sigmoid
0.7407;0.1528;0.9227;4;0.0001;0.7500;1.7697;relu
0.6429;0.1541;0.4645;4;0.0001;0.9500;2.1272;sigmoid
0.6498;0.1543;0.4444;4;0.0001;0.9500;1.8573;relu
0.4981;0.1558;0.2157;4;0.0001;0.9950;1.8000;sigmoid
0.4746;0.1557;0.1675;4;0.0001;0.9950;1.7600;relu
0.6493;0.1536;0.6868;4;0.0010;0.5000;0.8152;sigmoid
0.6590;0.1538;0.6716;4;0.0010;0.5000;0.7829;relu
0.6414;0.1542;0.6407;4;0.0010;0.5500;1.8154;sigmoid
0.7348;0.1527;0.9460;4;0.0010;0.5500;1.7971;relu
0.7360;0.1525;0.9632;4;0.0010;0.7500;1.8354;sigmoid
0.7402;0.1529;0.9164;4;0.0010;0.7500;1.7543;relu
0.6527;0.1541;0.4787;4;0.0010;0.9500;1.9203;sigmoid
0.6534;0.1543;0.4634;4;0.0010;0.9500;1.7997;relu
0.4685;0.1557;0.1730;4;0.0010;0.9950;1.8364;sigmoid
0.4980;0.1556;0.2279;4;0.0010;0.9950;1.8030;relu
0.7348;0.1526;0.9469;4;0.0100;0.5000;0.8347;sigmoid
0.7360;0.1527;0.9398;4;0.0100;0.5000;0.7626;relu
0.7353;0.1525;0.9630;4;0.0100;0.5500;1.8366;sigmoid
0.7360;0.1527;0.9425;4;0.0100;0.5500;1.7048;relu
0.7361;0.1525;0.9689;4;0.0100;0.7500;1.9672;sigmoid
0.7400;0.1528;0.9254;4;0.0100;0.7500;1.7500;relu
0.6534;0.1541;0.4719;4;0.0100;0.9500;1.8333;sigmoid
